state,generator_rows,unique_plants,capacity_mw,energy_capacity_mwh,missing_generator_id
TX,104,104,14040.1,0.0,0
CA,113,97,8992.6,0.0,0
NY,19,17,1786.9,0.0,0
NV,8,8,1471.0,0.0,0
AZ,6,6,1100.0,0.0,0
CT,3,3,400.0,0.0,0
IN,3,3,260.0,0.0,0
HI,8,8,226.5,0.0,0
GA,2,2,215.0,0.0,0
OK,1,1,200.0,0.0,0
IL,3,3,192.0,0.0,0
ME,3,3,190.0,0.0,0
NM,3,3,180.0,0.0,0
MA,9,9,164.9,0.0,1
MT,5,5,150.0,0.0,0
ID,6,6,131.0,0.0,0
FL,4,4,115.0,0.0,0
VA,4,4,110.0,0.0,0
MS,2,2,100.0,0.0,0
WI,1,1,100.0,0.0,0
NC,17,17,92.5,0.0,0
OH,2,2,87.5,0.0,0
SC,2,2,81.5,0.0,0
TN,2,2,70.0,0.0,0
UT,1,1,58.0,0.0,0
PR,3,2,57.0,0.0,0
NJ,1,1,20.0,0.0,0
DE,1,1,12.5,0.0,0
MD,1,1,6.0,0.0,0
MN,1,1,1.0,0.0,0
